"","x","y","Date","Ignitions","AR","AT","AVPD","Area"
"3172",149.05,-35.3,"2016_04",0,5.09999990463257,23.7266674041748,1.77347469329834,0.83
"3173",149.05,-35.3,"2016_05",0,55.9000015258789,17.025806427002,0.979805946350098,0.83
"3174",149.05,-35.3,"2016_06",0,139.600006103516,12.6966667175293,0.6063272356987,0.83
"3175",149.05,-35.3,"2016_07",0,74.4000015258789,12.4935483932495,0.617627441883087,0.83
"3176",149.05,-35.3,"2016_08",0,49.2999992370605,14.1290321350098,0.816885888576508,0.83
"3177",149.05,-35.3,"2016_09",0,158.899993896484,15.7166662216187,0.807778894901276,0.83
"3178",149.05,-35.3,"2016_10",0,40.9000015258789,18.445161819458,1.21146047115326,0.83
"3179",149.05,-35.3,"2016_11",0,74.8000030517578,24.8533325195312,2.00694918632507,0.83
"3180",149.05,-35.3,"2016_12",0,68,28.554838180542,2.51568365097046,0.83
"3181",149.05,-35.3,"2017_01",0,9.80000019073486,32.4838714599609,3.36056327819824,0.83
"3182",149.05,-35.3,"2017_02",2,13,29.9035720825195,2.89414811134338,0.83
"3183",149.05,-35.3,"2017_03",1,86.0999984741211,25.9064521789551,1.85168874263763,0.83
"3184",149.05,-35.3,"2017_04",0,42.0999984741211,19.8633327484131,1.22706580162048,0.83
"3185",149.05,-35.3,"2017_05",0,47.2000007629395,16.2548389434814,0.962631285190582,0.83
"3186",149.05,-35.3,"2017_06",0,1.39999997615814,13.4399995803833,0.800775825977325,0.83
"3187",149.05,-35.3,"2017_07",0,18.3999996185303,12.512903213501,0.761619389057159,0.83
"3188",149.05,-35.3,"2017_08",0,49.2999992370605,13.5774192810059,0.856192111968994,0.83
"3189",149.05,-35.3,"2017_09",1,15.6999998092651,17.7566661834717,1.38039827346802,0.83
"3190",149.05,-35.3,"2017_10",1,45.2999992370605,22.8903217315674,1.72111213207245,0.83
"3191",149.05,-35.3,"2017_11",0,84.3000030517578,24.2266674041748,1.87296068668365,0.83
"3192",149.05,-35.3,"2017_12",0,109.5,27.6741943359375,2.29076457023621,0.83
"3193",149.05,-35.3,"2018_01",0,36,31.2580642700195,3.20557880401611,0.83
"3194",149.05,-35.3,"2018_02",0,66.4000015258789,29.0107135772705,2.74220204353333,0.83
"3195",149.05,-35.3,"2018_03",0,6.80000019073486,26.6451606750488,2.31973528862,0.83
"3196",149.05,-35.3,"2018_04",0,20.7000007629395,25.0166664123535,2.06867909431458,0.83
"3197",149.05,-35.3,"2018_05",0,17.7000007629395,17.1774196624756,1.13750576972961,0.83
"3198",149.05,-35.3,"2018_06",0,22.1000003814697,12.9833335876465,0.690094470977783,0.83
"3199",149.05,-35.3,"2018_07",0,6.59999990463257,12.9967737197876,0.852822184562683,0.83
"3200",149.05,-35.3,"2018_08",0,31.8999996185303,13.5516128540039,0.860745251178741,0.83
"3201",149.05,-35.3,"2018_09",0,27.3999996185303,17.8799991607666,1.30918490886688,0.83
"3202",149.05,-35.3,"2018_10",0,25.8999996185303,22.6709671020508,1.80408525466919,0.83
"3203",149.05,-35.3,"2018_11",0,65.6999969482422,24.3099994659424,1.9809136390686,0.83
"3204",149.05,-35.3,"2018_12",0,103,29.432258605957,2.79828143119812,0.83
"3205",149.05,-35.3,"2019_01",0,71.5,34.583869934082,3.83902812004089,0.83
"3206",149.05,-35.3,"2019_02",1,31.8999996185303,29.2857151031494,2.73633670806885,0.83
"3207",149.05,-35.3,"2019_03",0,79.8000030517578,25.8645153045654,1.98697853088379,0.83
"3208",149.05,-35.3,"2019_04",0,18.2999992370605,22.6033325195312,1.58034193515778,0.83
"3209",149.05,-35.3,"2019_05",0,39.2999992370605,16.3935489654541,0.969562172889709,0.83
"3210",149.05,-35.3,"2019_06",0,17.7999992370605,13.6700000762939,0.791895568370819,0.83
"3211",149.05,-35.3,"2019_07",0,6.59999990463257,13.3838710784912,0.795100808143616,0.83
"3212",149.05,-35.3,"2019_08",0,26.7999992370605,13.8999996185303,0.907619595527649,0.83
"3213",149.05,-35.3,"2019_09",0,30.2000007629395,18.5499992370605,1.39285564422607,0.83
"3214",149.05,-35.3,"2019_10",0,19.7999992370605,23.4967746734619,2.08237838745117,0.83
"3215",149.05,-35.3,"2019_11",0,15.6000003814697,26.4266662597656,2.64604187011719,0.83
"3216",149.05,-35.3,"2019_12",0,1.60000002384186,31.6096782684326,3.76790714263916,0.83
"3217",149.05,-35.3,"2020_01",1,25,31.8129024505615,3.42432928085327,0.83
"3218",149.05,-35.3,"2020_02",0,99.6999969482422,27.7137928009033,2.27915382385254,0.83
"3219",149.05,-35.3,"2020_03",0,107,23.6419353485107,1.62213480472565,0.83
"3220",149.05,-35.3,"2020_04",0,88.6999969482422,18.9166660308838,1.0220742225647,0.83
"3221",149.05,-35.3,"2020_05",0,25.7999992370605,15.0612907409668,0.841321587562561,0.83
"3222",149.05,-35.3,"2020_06",0,51.9000015258789,13.4433336257935,0.706339716911316,0.83
"3223",149.05,-35.3,"2020_07",0,32.0999984741211,13.1129035949707,0.715502560138702,0.83
"3224",149.05,-35.3,"2020_08",0,124.199996948242,12.7290325164795,0.708695471286774,0.83
"3225",149.05,-35.3,"2020_09",0,50,17.6133327484131,1.0613489151001,0.83
"3226",149.05,-35.3,"2020_10",0,144.300003051758,20.5580654144287,1.2606794834137,0.83
"3227",149.05,-35.3,"2020_11",0,79.4000015258789,25.3466663360596,1.9963653087616,0.83
"3228",149.05,-35.3,"2020_12",0,40.2999992370605,25.5774192810059,1.99791932106018,0.83
"3229",149.05,-35.3,"2021_01",0,71.5,28.0741939544678,2.54411554336548,0.83
"3230",149.05,-35.3,"2021_02",0,115.099998474121,26.2607135772705,1.98717880249023,0.83
"3231",149.05,-35.3,"2021_03",1,139.300003051758,23.0935478210449,1.55777525901794,0.83
"3232",149.05,-35.3,"2021_04",2,1.10000002384186,20.8466663360596,1.47464919090271,0.83
"3233",149.05,-35.3,"2021_05",0,55.9000015258789,16.3709678649902,0.934120833873749,0.83
"3234",149.05,-35.3,"2021_06",0,108.699996948242,12.8266668319702,0.630792617797852,0.83
"3235",149.05,-35.3,"2021_07",0,65.9000015258789,11.6967744827271,0.590580940246582,0.83
"3236",149.05,-35.3,"2021_08",0,43.0999984741211,14.6225805282593,0.864804685115814,0.83
"3237",149.05,-35.3,"2021_09",0,107.099998474121,17.3333339691162,1.09294497966766,0.83
"3238",149.05,-35.3,"2021_10",0,54.7999992370605,19.2580642700195,1.24569249153137,0.83
"3239",149.05,-35.3,"2021_11",0,207.399993896484,20.25,1.16230583190918,0.83
"3240",149.05,-35.3,"2021_12",0,14.3999996185303,24.9428577423096,1.82716774940491,0.83
"3241",149.1,-35.3,"2012_01",0,49.0999984741211,27.2096767425537,2.21365571022034,0.38
