"x";"y";"Month";"MR";"MT";"MV"
149;-35,1;"10";NA;NA;NA
149;-35,1;"11";NA;NA;NA
149;-35,1;"12";NA;NA;NA
149,05;-35,1;"01";NA;NA;NA
149,05;-35,1;"02";NA;NA;NA
149,05;-35,1;"03";NA;NA;NA
149,05;-35,1;"04";NA;NA;NA
149,05;-35,1;"05";NA;NA;NA
149,05;-35,1;"06";NA;NA;NA
149,05;-35,1;"07";NA;NA;NA
149,05;-35,1;"08";NA;NA;NA
149,05;-35,1;"09";NA;NA;NA
149,05;-35,1;"10";NA;NA;NA
149,05;-35,1;"11";NA;NA;NA
149,05;-35,1;"12";NA;NA;NA
149,1;-35,1;"01";NA;NA;NA
149,1;-35,1;"02";NA;NA;NA
149,1;-35,1;"03";NA;NA;NA
149,1;-35,1;"04";NA;NA;NA
149,1;-35,1;"05";NA;NA;NA
149,1;-35,1;"06";NA;NA;NA
149,1;-35,1;"07";NA;NA;NA
149,1;-35,1;"08";NA;NA;NA
149,1;-35,1;"09";NA;NA;NA
149,1;-35,1;"10";NA;NA;NA
149,1;-35,1;"11";NA;NA;NA
149,1;-35,1;"12";NA;NA;NA
149,15;-35,1;"01";NA;NA;NA
149,15;-35,1;"02";NA;NA;NA
149,15;-35,1;"03";NA;NA;NA
149,15;-35,1;"04";NA;NA;NA
149,15;-35,1;"05";NA;NA;NA
149,15;-35,1;"06";NA;NA;NA
149,15;-35,1;"07";NA;NA;NA
149,15;-35,1;"08";NA;NA;NA
149,15;-35,1;"09";NA;NA;NA
149,15;-35,1;"10";NA;NA;NA
149,15;-35,1;"11";NA;NA;NA
149,15;-35,1;"12";NA;NA;NA
149,2;-35,1;"01";NA;NA;NA
149,2;-35,1;"02";NA;NA;NA
149,2;-35,1;"03";NA;NA;NA
149,2;-35,1;"04";NA;NA;NA
149,2;-35,1;"05";NA;NA;NA
149,2;-35,1;"06";NA;NA;NA
149,2;-35,1;"07";NA;NA;NA
149,2;-35,1;"08";NA;NA;NA
149,2;-35,1;"09";NA;NA;NA
149,2;-35,1;"10";NA;NA;NA
149,2;-35,1;"11";NA;NA;NA
149,2;-35,1;"12";NA;NA;NA
149,25;-35,1;"01";NA;NA;NA
149,25;-35,1;"02";NA;NA;NA
149,25;-35,1;"03";NA;NA;NA
149,25;-35,1;"04";NA;NA;NA
149,25;-35,1;"05";NA;NA;NA
149,25;-35,1;"06";NA;NA;NA
149,25;-35,1;"07";NA;NA;NA
149,25;-35,1;"08";NA;NA;NA
149,25;-35,1;"09";NA;NA;NA
149,25;-35,1;"10";NA;NA;NA
149,25;-35,1;"11";NA;NA;NA
149,25;-35,1;"12";NA;NA;NA
149,3;-35,1;"01";NA;NA;NA
149,3;-35,1;"02";NA;NA;NA
149,3;-35,1;"03";NA;NA;NA
149,3;-35,1;"04";NA;NA;NA
149,3;-35,1;"05";NA;NA;NA
149,3;-35,1;"06";NA;NA;NA
149,3;-35,1;"07";NA;NA;NA
149,3;-35,1;"08";NA;NA;NA
149,3;-35,1;"09";NA;NA;NA
149,3;-35,1;"10";NA;NA;NA
149,3;-35,1;"11";NA;NA;NA
149,3;-35,1;"12";NA;NA;NA
149,35;-35,1;"01";NA;NA;NA
149,35;-35,1;"02";NA;NA;NA
149,35;-35,1;"03";NA;NA;NA
149,35;-35,1;"04";NA;NA;NA
149,35;-35,1;"05";NA;NA;NA
149,35;-35,1;"06";NA;NA;NA
149,35;-35,1;"07";NA;NA;NA
149,35;-35,1;"08";NA;NA;NA
149,35;-35,1;"09";NA;NA;NA
149,35;-35,1;"10";NA;NA;NA
149,35;-35,1;"11";NA;NA;NA
149,35;-35,1;"12";NA;NA;NA
149,4;-35,1;"01";NA;NA;NA
149,4;-35,1;"02";NA;NA;NA
149,4;-35,1;"03";NA;NA;NA
149,4;-35,1;"04";NA;NA;NA
149,4;-35,1;"05";NA;NA;NA
149,4;-35,1;"06";NA;NA;NA
149,4;-35,1;"07";NA;NA;NA
149,4;-35,1;"08";NA;NA;NA
149,4;-35,1;"09";NA;NA;NA
149,4;-35,1;"10";NA;NA;NA
149,4;-35,1;"11";NA;NA;NA
149,4;-35,1;"12";NA;NA;NA
149,45;-35,1;"01";NA;NA;NA
